record_id,source,source_record_id,event_date,industry,report_type,event_type,description,what_went_wrong,corrective_action,cause,causal_factors,hazard,activity,location,equipment,worker_involvement,worker_exposure,injury_type,severity,hospitalization,amputation,loss_of_eye,fatality,high_potential,energy_vector,barrier_status,barrier_failure,life_saving_rule,sif_label,sif_label_source,data_quality,provenance
OSHA-2015010257,OSHA,2015010257,1/8/2015,511110,Severe Injury,"Caught in running equipment or machinery, unspecified","On January 8, 2015, an Abilene Reporter-News employee was working with the large printing press in the company's press room. He stuck his hand into the roller system and had the skin on his right hand removed (""gloved"") by the machine. The employee was taken to Hendricks Medical Center in Abilene, Texas, where he was awaiting surgical intervention.",,,"Caught in running equipment or machinery, unspecified",Presses-printing,Amputations,,"ABILENE, TEXAS",Presses-printing,YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010259,OSHA,2015010259,1/8/2015,331512,Severe Injury,Contact with hot objects or substances,Employee was adding a steel bar to the induction furnace when it flared up and splashed hot metal on the employee.  Employee was taken to Lehigh Valley Hospital.,,,Contact with hot objects or substances,Metal ores-nonradiating,"Traumatic injuries and disorders, unspecified",,"MYERSTOWN, PENNSYLVANIA",Metal ores-nonradiating,YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Thermal,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010260,OSHA,2015010260,1/8/2015,331511,Severe Injury,"Caught in or compressed by equipment or objects, unspecified","Employee was troubleshooting a monorail lift station.  A pneumatic hoist rail on a cylinder was lowered to troubleshoot the equipment. It caught the tip of the employee's boot, fracturing two toes on the right foot.",,,"Caught in or compressed by equipment or objects, unspecified",Overhead hoists-pneumatic powered,Fractures,,"SKOKIE, ILLINOIS",Overhead hoists-pneumatic powered,YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010261,OSHA,2015010261,1/8/2015,211112,Severe Injury,"Contact with objects and equipment, unspecified","On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.",,,"Contact with objects and equipment, unspecified","Agricultural and garden machinery, n.e.c.",Amputations,,"WAYNESBURG, PENNSYLVANIA","Agricultural and garden machinery, n.e.c.",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010263,OSHA,2015010263,1/8/2015,333911,Severe Injury,Fall on same level due to slipping ,An employee slipped and fell on  ice while walking in the yard to retrieve parts for a machine.,,,Fall on same level due to slipping ,"Ground, unspecified","Traumatic injuries and disorders, unspecified",,"BRIDGEPORT, NEW JERSEY","Ground, unspecified",YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010264,OSHA,2015010264,1/8/2015,311812,Severe Injury,"Caught in running equipment or machinery during maintenance, cleaning ","Employee reached under the guard on wrapping equipment to remove a bag that was snagged. He caught his finger in the chain and sprocket, cutting the tip of the finger.",,,"Caught in running equipment or machinery during maintenance, cleaning ","Packaging, wrapping, bundling machinery","Cuts, lacerations",,"FORT WORTH, TEXAS","Packaging, wrapping, bundling machinery",YES,YES,"Cuts, lacerations",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010265,OSHA,2015010265,1/8/2015,238910,Severe Injury,Fall through surface or existing opening 16 to 20 feet,"Employee was removing concrete debris when he removed a piece of plywood that had been secured to cover a floor hole. Upon removal, the employee stepped and walked through the hole, falling 17 feet to the lower level.",,,Fall through surface or existing opening 16 to 20 feet,Existing floor opening ,"Traumatic injuries and disorders, unspecified",,"KANSAS CITY, MISSOURI",Existing floor opening ,YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010266,OSHA,2015010266,1/8/2015,237130,Severe Injury,"Struck by rolling object or equipment-other than powered vehicle, unspecified",Employee used a derrick with a tong to unload a utility pole out of a storage area on the ground. The pole rolled onto the employee's leg as he tried to reorient the tong. The left fibula was broken.,,,"Struck by rolling object or equipment-other than powered vehicle, unspecified",Utility and telephone poles,Fractures,,"FLUSHING, NEW YORK",Utility and telephone poles,YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010267,OSHA,2015010267,1/8/2015,238210,Severe Injury,"Other fall to lower level, unspecified","Around 10 am yesterday morning, an employee fell from an aerial lift while working on a pellet unit.",,,"Other fall to lower level, unspecified","Aerial lifts, scissor lifts-except truck-mounted","Traumatic injuries and disorders, unspecified",,"CORINTH, MAINE","Aerial lifts, scissor lifts-except truck-mounted",YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010268,OSHA,2015010268,1/8/2015,337121,Severe Injury,Struck by discharged object or substance,Employee received an embedded tack in her thigh when walking by a pintacker. Employee had the micro pin tack surgically removed from her thigh and was admitted to the hospital overnight.,,,Struck by discharged object or substance,"Nails, brads, tacks, nuts, bolts, washers","Puncture wounds, except gunshot wounds",,"ARCADIA, WISCONSIN","Nails, brads, tacks, nuts, bolts, washers",YES,YES,"Puncture wounds, except gunshot wounds",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010269,OSHA,2015010269,1/8/2015,238910,Severe Injury,"Fall to lower level, unspecified","Employee working on a ladder was knocked off and landed in a pile of construction debris. Employee sustaineda broken collarbone, eye socket, and skull.",,,"Fall to lower level, unspecified","Ladders, unspecified",Fractures,,"WASHINGTON, DISTRICT OF COLUMBIA","Ladders, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010270,OSHA,2015010270,1/8/2015,325110,Severe Injury,"Other fall to lower level, unspecified",An employee fell from an elevated structure.,,,"Other fall to lower level, unspecified","Structures and surfaces, unspecified","Traumatic injuries and disorders, unspecified",,"HAHNVILLE, LOUISIANA","Structures and surfaces, unspecified",YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010271,OSHA,2015010271,1/8/2015,213112,Severe Injury,Fall on same level due to tripping over self,"At the facility shop area, an employee tripped over his feet and fell on an industrial sized valve stem used in hydrofracking (a piece of sharp equipment) and lacerated his abdomen.  This injury required hospitalization for two days.",,,Fall on same level due to tripping over self,"Floor, unspecified","Cuts, lacerations",,"WAVERLY, NEW YORK","Floor, unspecified",YES,YES,"Cuts, lacerations",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010272,OSHA,2015010272,1/8/2015,237110,Severe Injury,Fall through surface or existing opening 21 to 25 feet ,An employee was working on the second floor of the inside section loading material. He fell out of a window opening onto the pavement and fractured his wrist.,,,Fall through surface or existing opening 21 to 25 feet ,"Windows, openings",Fractures,,"TITUSVILLE, FLORIDA","Windows, openings",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010273,OSHA,2015010273,1/8/2015,213112,Severe Injury,"Struck against stationary object or equipment, n.e.c.","Employee was working from the derrick monkey board latching and unlatching tubing. As he was unlatching the elevator that has horns and a locking mechanism, the employee's harness got caught on the horns. The horns pulled the harness and pulled him down causing small fractures in his knees that required surgery.",,,"Struck against stationary object or equipment, n.e.c.",Derricks and related equipment,Fractures,,"SARITA, TEXAS",Derricks and related equipment,YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010274,OSHA,2015010274,1/8/2015,531311,Severe Injury,Struck by or caught in swinging door or gate,The employee amputated her right pinky finger when a trash room door shut on her finger.,,,Struck by or caught in swinging door or gate,"Doors, except garage and vehicle",Amputations,,"MIAMI BEACH, FLORIDA","Doors, except garage and vehicle",YES,YES,Amputations,Hospitalization,1.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010276,OSHA,2015010276,1/8/2015,484110,Severe Injury,Other fall to lower level 6 to 10 feet,"Employee was exposed to fall hazards when he fell 6 feet from a ladder to the ground level. Employee was not wearing proper 
PPE when working at the frac tank located to the rear of the winch truck at the yard.",,,Other fall to lower level 6 to 10 feet,"Ladders, unspecified","Traumatic injuries and disorders, unspecified",,"POTEET, TEXAS","Ladders, unspecified",YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010277,OSHA,2015010277,1/8/2015,238210,Severe Injury,"Other fall to lower level, unspecified",Employee working from a ladder on live electrical circuitry received an electrical shock during testing and service installation. The employee fell from the ladder.,,,"Other fall to lower level, unspecified","Ladders, unspecified","Electrocutions, electric shocks",,"ROCHESTER, NEW YORK","Ladders, unspecified",YES,YES,"Electrocutions, electric shocks",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010278,OSHA,2015010278,1/8/2015,623312,Severe Injury,Fall on same level due to slipping ,"Employee slipped and fell, fracturing her left hip. The facility had contractors replace the ceramic floor tile, and the employee slipped and fell on a walking and working surface.",,,Fall on same level due to slipping ,"Floor, n.e.c.",Fractures,,"CHICAGO, ILLINOIS","Floor, n.e.c.",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010279,OSHA,2015010279,1/8/2015,541910,Severe Injury,Fall on same level due to slipping ,"On or about January 8, 2015, an employee fell and broke her leg in two places when she slipped on ice in the parking lot.  This resulted in an overnight stay in the hospital.",,,Fall on same level due to slipping ,"Parking lot, unspecified",Fractures,,"DESTIN, FLORIDA","Parking lot, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010282,OSHA,2015010282,1/8/2015,713910,Severe Injury,"Nonroadway collision with object other than vehicle, n.e.c.","An employee was driving a Toro cart, lost control, and hit a tree.  The employee was unconscious and was air-transported to Atlanta Medical Center where he was admitted in critical condition.",,,"Nonroadway collision with object other than vehicle, n.e.c.","Golf cart, personnel transport cart","Intracranial injuries, unspecified",,"ATLANTA, GEORGIA","Golf cart, personnel transport cart",YES,YES,"Intracranial injuries, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010283,OSHA,2015010283,1/8/2015,112340,Severe Injury,Compressed or pinched by shifting objects or equipment,"On January 8, 2015, an employee's hand was injured when a gate came down on his hand while pushing birds out of their nests to gather eggs. The employee was admitted to the hospital on January 9, 2015.",,,Compressed or pinched by shifting objects or equipment,Gates,"Soreness, pain, hurt-nonspecified injury",,"PAULDING, OHIO",Gates,YES,YES,"Soreness, pain, hurt-nonspecified injury",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010284,OSHA,2015010284,1/8/2015,238110,Severe Injury,"Pedestrian struck by vehicle in nonroadway area, unspecified",Employee installing form work on a concrete wall was struck by a forklift.,,,"Pedestrian struck by vehicle in nonroadway area, unspecified","Forklift, order picker, platform truck-powered","Traumatic injuries and disorders, unspecified",,"PELHAM, NEW YORK","Forklift, order picker, platform truck-powered",YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010285,OSHA,2015010285,1/8/2015,238310,Severe Injury,"Struck by powered vehicle-nontransport, unspecified",The injured employee was hit by a forklift below the knees. He sustained a broken left leg.,,,"Struck by powered vehicle-nontransport, unspecified","Forklift, order picker, platform truck-powered",Fractures,,"HOUSTON, TEXAS","Forklift, order picker, platform truck-powered",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010286,OSHA,2015010286,1/8/2015,311421,Severe Injury,Contact with hot objects or substances,"On or about January 8, 2014, at 10:40 p.m., an employee was hospitalized for burns after cleaning the juice processing tank. He was burned on his forehead, abdomen, hands, thighs, and ankles when hot steam blew out of the tank, struck him, and forced him off the 8-foot ladder that he was using to perform his daily task.",,,Contact with hot objects or substances,"Steam, vapors, liquids, ice, unspecified","Heat (thermal) burns, unspecified",,"ORRTANNA, PENNSYLVANIA","Steam, vapors, liquids, ice, unspecified",YES,YES,"Heat (thermal) burns, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010287,OSHA,2015010287,1/8/2015,444110,Severe Injury,Nonclassifiable,An employee was injured on a reach truck.,,,Nonclassifiable,"Forklift, order picker, platform truck-powered","Traumatic injuries and disorders, unspecified",,"PITTSBURGH, PENNSYLVANIA","Forklift, order picker, platform truck-powered",YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010288,OSHA,2015010288,1/8/2015,237130,Severe Injury,Struck against moving part of machinery or equipment,"On January 8, 2015, at around 11:45 am, an employee working at 22nd Terrace and 3rd Avenue SW, Miami, Florida, was performing tree-cutting operations on a bucket. While cutting tree limbs, he cut his hand with a  chainsaw. The employee was admitted to the hospital to determine if ligament damage had occurred.",,,Struck against moving part of machinery or equipment,Chainsaws-powered,"Cuts, lacerations",,"MIAMI, FLORIDA",Chainsaws-powered,YES,YES,"Cuts, lacerations",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010289,OSHA,2015010289,1/8/2015,423920,Severe Injury,Other fall to lower level 6 to 10 feet,Employee fell approximately 10 feet while climbing down an extension ladder located inside a 6000-gallon tank.,,,Other fall to lower level 6 to 10 feet,Extension ladders,"Traumatic injuries and disorders, unspecified",,"SOUTHAVEN, MISSISSIPPI",Extension ladders,YES,YES,"Traumatic injuries and disorders, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010290,OSHA,2015010290,1/8/2015,326211,Severe Injury,Struck by rolling object or equipment being pushed by another  person,"On January 8, 2015, at approximately 8:40 PM, an employee's leg was caught between a tugger and rolling stock another employee was moving.  The employee was taken to the hospital where he was admitted due to a possible fracture and swelling.",,,Struck by rolling object or equipment being pushed by another  person,"Forklift, order picker, platform truck-powered",Fractures,,"MOUNT VERNON, ILLINOIS","Forklift, order picker, platform truck-powered",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010292,OSHA,2015010292,1/8/2015,493110,Severe Injury,"Caught in or compressed by equipment or objects, n.e.c.",Maintenance employee was adjusting the level of shipping roll-up door #34 when his right middle finger became caught in the chain and sprocket.,,,"Caught in or compressed by equipment or objects, n.e.c.",Garage doors,"Soreness, pain, hurt-nonspecified injury",,"SOUTHAVEN, MISSISSIPPI",Garage doors,YES,YES,"Soreness, pain, hurt-nonspecified injury",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010293,OSHA,2015010293,1/8/2015,311615,Severe Injury,Caught in running equipment or machinery during regular operation,Employee's finger got caught in the jaws of the bagging machine located in Line 3 of the plant. This resulted in the partial amputation of the tip of the left index finger.,,,Caught in running equipment or machinery during regular operation,"Packaging, bottling, wrapping machinery, n.e.c.",Amputations,,"NORTH LITTLE ROCK, ARKANSAS","Packaging, bottling, wrapping machinery, n.e.c.",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010294,OSHA,2015010294,1/8/2015,238220,Severe Injury,"Struck against stationary object or equipment, n.e.c.","Employee was moving a big blower blade by pulling on the fan belt. The machine was off and had proper lockout/tag out. He was there to diagnose a vibration problem on the HVAC. When pulling, his hand got trapped between the pulley and the belt. He dropped his hand and severed the ring, middle, and pinky fingers on his right hand. Each finger was amputated above the joint and was approximately less than 1 inch.",,,"Struck against stationary object or equipment, n.e.c.","Heating, cooling, and cleaning machinery and appliances, unspecified",Amputations,,"AUSTIN, TEXAS","Heating, cooling, and cleaning machinery and appliances, unspecified",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010296,OSHA,2015010296,1/8/2015,213112,Severe Injury,"Caught in running equipment or machinery during maintenance, cleaning ","On January 8, 2015 at 10:15pm, an employee was cleaning/unclogging an automatic in-line cement powder sampler.  He used his finger to verify there was no longer a clog and the sampler actuated amputating the tip of the third finger on the employee's left hand.",,,"Caught in running equipment or machinery during maintenance, cleaning ","Tools, instruments, and equipment, n.e.c.",Amputations,,"VICTORIA, TEXAS","Tools, instruments, and equipment, n.e.c.",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010298,OSHA,2015010298,1/8/2015,221122,Severe Injury,Struck by or caught in swinging door or gate,Employee severed finger when an industrial metal door closed on his pinky finger.,,,Struck by or caught in swinging door or gate,"Doors, except garage and vehicle",Amputations,,"BROOKLYN, NEW YORK","Doors, except garage and vehicle",YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015013747,OSHA,2015013747,1/8/2015,423930,Severe Injury,Struck or run over by rolling powered vehicle,"An employee was setting a string of four railcars in the yard with his groundsman. The groundsman secured the ground hand brake on the first railcar and unhooked the string from the railcar.  The employee noticed a railcar starting to move as the manual ground brake on the first railcar failed.  He attempted to set the brake on the second car when the railcar wheel smashed his steel toe boot to the ground, fracturing his right foot and removing a toenail.",,,Struck or run over by rolling powered vehicle,Rail car(s)-unattached to locomotive,Fractures,,"SAINT LOUIS, MISSOURI",Rail car(s)-unattached to locomotive,YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010299,OSHA,2015010299,1/9/2015,238150,Severe Injury,Other fall to lower level 6 to 10 feet,"An employee fell from an 8 foot high staging (pedestrian screen). 

Employee injured his tail bone and was hospitalized.",,,Other fall to lower level 6 to 10 feet,"Scaffolds-staging, n.e.c.","Traumatic injuries to bones, nerves, spinal cord, unspecified",,"BOSTON, MASSACHUSETTS","Scaffolds-staging, n.e.c.",YES,YES,"Traumatic injuries to bones, nerves, spinal cord, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010300,OSHA,2015010300,1/9/2015,721110,Severe Injury,"Contact with objects and equipment, unspecified",Employee cut hand on vacuum and was hospitalized.,,,"Contact with objects and equipment, unspecified",Vacuum cleaners,"Cuts, lacerations",,"ORLANDO, FLORIDA",Vacuum cleaners,YES,YES,"Cuts, lacerations",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010301,OSHA,2015010301,1/9/2015,332710,Severe Injury,Struck against moving part of machinery or equipment,An employee amputated a finger tip while using a band saw.,,,Struck against moving part of machinery or equipment,Band saws,Amputations,,"GILFORD, NEW HAMPSHIRE",Band saws,YES,YES,Amputations,Amputation,0.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010302,OSHA,2015010302,1/9/2015,238910,Severe Injury,"Contact with objects and equipment, unspecified",A JP Hogan employee had three fingers amputated on 1/9/2015 while working with a Husqvarna walk-behind concrete saw.,,,"Contact with objects and equipment, unspecified","Saws-powered, except chainsaws",Amputations,,"BROOKLYN, NEW YORK","Saws-powered, except chainsaws",YES,YES,Amputations,Hospitalization,1.0,1.0,0.0,0,INSUFFICIENT_INFORMATION,Unknown,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010303,OSHA,2015010303,1/9/2015,311812,Severe Injury,"Caught in running equipment or machinery, unspecified","Employee experienced a crushing injury to her left hand, leading to an in-patient hospitalization at Froedtert Hospital at the Medical College of Wisconsin. She reached around an interlock guard on the pin roller machine.",,,"Caught in running equipment or machinery, unspecified","Food and beverage processing machinery-specialized, n.e.c.",Crushing injuries,,"FRANKLIN, WISCONSIN","Food and beverage processing machinery-specialized, n.e.c.",YES,YES,Crushing injuries,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Kinetic,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010305,OSHA,2015010305,1/9/2015,622110,Severe Injury,Fall on same level due to tripping on uneven surface,An employee fell on uneven concrete walking from the ER and broke her left wrist.,,,Fall on same level due to tripping on uneven surface,"Floors, walkways, ground surfaces, unspecified",Fractures,,"FORT WORTH, TEXAS","Floors, walkways, ground surfaces, unspecified",YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010308,OSHA,2015010308,1/9/2015,238220,Severe Injury,Fall through surface or existing opening 11 to 15 feet ,"Worker was installing ductwork from a 6-foot ladder, lost his balance, and fell 15-feet through the elevator shaft. He broke both arms and his nose.",,,Fall through surface or existing opening 11 to 15 feet ,Elevator shafts,Fractures,,"MIRAMAR BEACH, FLORIDA",Elevator shafts,YES,YES,Fractures,Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Gravity,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
OSHA-2015010309,OSHA,2015010309,1/9/2015,238120,Severe Injury,"Ignition of vapors, gases, or liquids","A propane-powered space heater was used inside the cab of an elevated crane during workplace operations. The space heater leaked, resulting in an explosion and fire. The employee who was trapped inside the cab sustained burns to the face and hands.",,,"Ignition of vapors, gases, or liquids",Propane,"Heat (thermal) burns, unspecified",,"OKLAHOMA CITY, OKLAHOMA",Propane,YES,YES,"Heat (thermal) burns, unspecified",Hospitalization,1.0,0.0,0.0,0,INSUFFICIENT_INFORMATION,Thermal,,,,INSUFFICIENT_INFORMATION,Evidence Assessment (Observed Severity != SIF Precursor),HIGH,OSHA Severe Injury Reports
